transaction_id,items
1,"Laptop,Mouse,Keyboard"
2,"Laptop,Mouse"
3,"Laptop,Headphones"
4,"Laptop,Mouse,Keyboard,Headphones"
5,"Laptop,Mouse,Webcam"
6,"Laptop,Keyboard"
7,"Laptop,Bag,Mouse"
8,"Laptop,Cooling Pad,Mouse"
9,"Laptop,USB Hub"
10,"Laptop,Mouse Pad"
11,"Mobile,Charger"
12,"Mobile,Earphones"
13,"Mobile,Power Bank"
14,"Mobile,Screen Guard"
15,"Mobile,Phone Case"
16,"Mobile,Charger,Power Bank"
17,"Mobile,Earphones,Phone Case"
18,"Mobile,Smart Watch"
19,"Mobile,Bluetooth Speaker"
20,"Mobile,Memory Card"
21,"Tablet,Stylus"
22,"Tablet,Keyboard"
23,"Tablet,Cover"
24,"Tablet,Stylus,Cover"
25,"Tablet,Keyboard,Mouse"
26,"Tablet,USB Hub"
27,"Tablet,Headphones"
28,"Tablet,Power Bank"
29,"Tablet,Screen Cleaner"
30,"Tablet,Bag"
31,"Camera,Tripod"
32,"Camera,Memory Card"
33,"Camera,Lens"
34,"Camera,Battery"
35,"Camera,Tripod,Memory Card"
36,"Camera,Camera Bag"
37,"Camera,Flash"
38,"Camera,Lens Filter"
39,"Camera,Tripod,Flash"
40,"Camera,Cleaning Kit"
41,"Printer,Ink"
42,"Printer,Paper"
43,"Printer,USB Cable"
44,"Printer,Ink,Paper"
45,"Printer,Scanner"
46,"Printer,Toner"
47,"Printer,Extension Board"
48,"Printer,Paper,Ink"
49,"Printer,Mouse"
50,"Printer,Keyboard"
51,"Smart Watch,Charger"
52,"Smart Watch,Screen Guard"
53,"Smart Watch,Earphones"
54,"Smart Watch,Bluetooth Speaker"
55,"Smart Watch,Phone Case"
56,"Smart Watch,Power Bank"
57,"Smart Watch,Fitness Band"
58,"Smart Watch,Headphones"
59,"Smart Watch,Mobile"
60,"Smart Watch,Wireless Charger"
61,"Gaming Mouse,Gaming Keyboard"
62,"Gaming Mouse,Mouse Pad"
63,"Gaming Mouse,Headset"
64,"Gaming Mouse,Laptop"
65,"Gaming Keyboard,Monitor"
66,"Gaming Keyboard,Headset"
67,"Gaming Keyboard,Mouse Pad"
68,"Gaming Keyboard,Laptop"
69,"Gaming Keyboard,Gaming Chair"
70,"Gaming Keyboard,Gaming Mouse"
71,"Monitor,HDMI Cable"
72,"Monitor,Keyboard"
73,"Monitor,Mouse"
74,"Monitor,Laptop"
75,"Monitor,Webcam"
76,"Monitor,Desk Lamp"
77,"Monitor,Extension Board"
78,"Monitor,UPS"
79,"Monitor,Speaker"
80,"Monitor,Gaming Mouse"
81,"SSD,Laptop"
82,"SSD,External HDD"
83,"SSD,USB Cable"
84,"SSD,Desktop"
85,"SSD,Keyboard"
86,"SSD,Mouse"
87,"SSD,Power Supply"
88,"SSD,RAM"
89,"SSD,Cooling Fan"
90,"SSD,Motherboard"
91,"Desktop,Keyboard"
92,"Desktop,Mouse"
93,"Desktop,Monitor"
94,"Desktop,UPS"
95,"Desktop,Speaker"
96,"Desktop,Webcam"
97,"Desktop,Printer"
98,"Desktop,SSD"
99,"Desktop,RAM"
100,"Desktop,Graphics Card"
